variable,Df,variance,F_stat,p_value
school,1,0.2771328745640034,1.0942219131035293,0.3291
gender,2,1.5091903269746894,2.979417597817685,0.0226
professor_class,28,8.752495623204751,1.234216170585083,0.1244
continent,3,1.88640541492002,2.482739426289091,0.0255
