artist_id,full_name,school,east_german,professor_class,gender,country_iso3,continent,region,instagram_handle,instagram_private,instagram_private_allowed,is_business,is_private,follower_count,following_count,posts_count,website,img_count,avg_likes,avg_comments,avg_file_size,avg_width,avg_height,avg_aspect_ratio,umap_1,umap_2
ivanzozulya,Ivan Zozulya,Stuttgart,False,Güdemann,M,UKR,Europe,Europe & Central Asia,ivan_zozu,False,False,False,False,256.0,415.0,14.0,http://ivanzozulya.de/info/,14,,,156250.642857143,962.857142857143,882.642857142857,1.147322242225,6.1360717,8.176432
ivettakarnelik,Ivetta Karnelik,Stuttgart,False,Bunk,F,,,,iveart19,False,False,False,False,465.0,400.0,59.0,,44,56.0,3.09302325581395,349181.954545455,994.25,1009.15909090909,1.03687162414533,4.1539555,6.4452453
ivokiefer,Ivo Kiefer,Bremen,False,Barath,M,DEU,Europe,Europe & Central Asia,ivo_kiefer_painting_and_wood,False,False,True,False,1053.0,1138.0,134.0,http://www.ivokiefer.de/,28,,,459424.107142857,712.571428571429,682.892857142857,1.1487297736205,6.6983285,7.9182677
jacobcoenders,Jacob Coenders,Leipzig,True,Meller,M,,,,jacobcoenders,False,False,False,False,199.0,242.0,60.0,,26,47.0,1.5,272507.230769231,1033.73076923077,944.461538461538,1.19182120183619,5.298564,5.828358
jacqualineburk,Jacqualine Burk,Alanus,False,Reisch,F,DEU,Europe,Europe & Central Asia,jburk_art,False,False,False,False,52.0,40.0,18.0,http://www.students-michaelreisch.de/arbeiten/jacqualine-burke/,2,5.0,0.5,374854.5,976.0,913.0,1.08445040214477,4.8513484,5.831586
jakobimmel,Jakob Immel,Leipzig,True,,M,,,,jakobimmel,False,False,True,False,17498.0,5603.0,68.0,,65,,,370843.246153846,1075.72307692308,838.461538461538,1.3433922455595,5.9930425,4.638623
jakobzander,Jakob Zander,Leipzig,True,Ruckhäberle,M,,,,zanderjakob,False,False,False,False,164.0,253.0,33.0,,32,35.6,1.8,367401.84375,947.53125,1037.3125,0.971287877229036,3.1815977,6.2537637
janaltkewitte,Jana Lütkewitte,Dresden,True,Sery,F,,,,ja__.l_tke_i__e,False,False,False,False,121.0,152.0,30.0,,23,24.5882352941176,0.176470588235294,56034.9565217391,864.782608695652,764.173913043478,1.16483916496976,7.603957,4.3145285
jandavidgrommas,Jan-David Grommas,Braunschweig,False,Ellenrieder,M,,,,jdgrxmmxs,False,False,False,False,329.0,537.0,26.0,,16,52.5555555555556,1.44444444444444,523078.4375,914.4375,1179.375,0.781332509022397,9.361102,6.0501404
jankazller,janka zöller,Munchen,False,Kneffel,F,DEU,Europe,Europe & Central Asia,centa_shock,False,False,False,False,836.0,501.0,177.0,http://jankazoeller.com/,24,,,975263.291666667,1632.375,1921.91666666667,0.870611243005444,3.6097147,6.8904023
jankunze,Jan Kunze,Dresden,True,Macketanz,M,DEU,Europe,Europe & Central Asia,,False,False,,,,,,https://jankunze.tumblr.com/,26,,,527488.730769231,490.461538461538,528.307692307692,1.01933070328933,4.2108974,7.874264
jannagerdes,Janna Gerdes,Dresden,True,Kerbach,F,DEU,Europe,Europe & Central Asia,,False,False,,,,,,http://www.kerbachklasse.de/wordpress-3.7.1-de/wordpress/janna-gerdes/,4,,,5544632.75,1743.5,2414.0,0.721961609612509,3.811876,7.638523
janoschdannemann,Janosch Dannemann,Leipzig,True,Schröter,M,DEU,Europe,Europe & Central Asia,janoschdannemann,False,False,False,False,443.0,376.0,25.0,http://www.janoschdannemann.com,16,,,602301.375,993.0,1084.6875,0.973198607359964,6.514429,7.016446
janosschfer,Janos Schäfer,Nürnberg,False,Munding,M,DEU,Europe,Europe & Central Asia,janos.schaefer,False,False,False,False,261.0,260.0,5.0,http://www.klasse-munding.de/index.html,2,,,1170340.5,1135.0,1277.5,0.979701617660758,9.403816,5.5714006
jenniferknig,Jennifer König,Leipzig,True,Ruckhäberle,F,DEU,Europe,Europe & Central Asia,,False,False,,,,,,https://jennifer-koenig.com/,33,,,190488.878787879,518.151515151515,659.69696969697,0.785775626160583,9.445909,6.389372
jennymaus,Jenny Maus,Alanus,False,Orosz,F,DEU,Europe,Europe & Central Asia,jenny_maus_art,False,False,False,False,521.0,907.0,27.0,http://jennymaus-kunst.de/,23,,,117087.347826087,1004.21739130435,828.391304347826,1.32174459870668,5.597598,8.826884
jeskovonstaden,Jesko von Staden,Nürnberg,False,Kühn,M,DEU,Europe,Europe & Central Asia,jeskovonstaden,False,False,False,False,132.0,345.0,3.0,http://www.klasse-kuehn.de/index.php/studenten/jesko-von-staden/,2,,,123798.0,942.0,1094.5,0.877739354488746,5.212861,7.90519
jessicagrundler,jessica grundler,Munchen,False,Kneffel,F,DEU,Europe,Europe & Central Asia,,False,False,,,,,,http://www.flachware.de/jessica-grundler/,41,,,66678.6829268293,407.560975609756,419.951219512195,1.05845781241195,5.019973,6.7605734
jettekleindienst,Jette Kleindienst,Leipzig,True,,F,,,,jettekleind,False,False,False,False,418.0,575.0,8.0,,4,88.0,6.66666666666667,387874.25,828.25,1021.75,0.80748536801617,4.4690533,6.1846232
jieunkim,Jieun Kim,Nürnberg,False,Kühn,F,KOR,Asia,East Asia & Pacific,jieun_kimi,False,False,False,False,620.0,785.0,415.0,https://www.kim-jieun.com/,22,,,288530.136363636,449.681818181818,532.0,0.865084332177449,8.3336115,7.576806
jinjoolee,Jinjoo Lee,Stuttgart,False,Güdemann,F,KOR,Asia,East Asia & Pacific,artworks_jinjoo.lee,False,False,False,False,55.0,46.0,23.0,http://jinjoolee.de/,27,,,1572143.18518519,769.703703703704,912.296296296296,0.848911109559475,4.837978,8.128376
jisoojang,Jisoo Jang,Halle,True,Peuger,,,,,,False,False,,,,,,,3,,,611787.666666667,1095.66666666667,926.333333333333,1.20914548566538,6.211631,8.310071
jisubkim,Jisub Kim,Braunschweig,False,Ellenrieder,M,KOR,Asia,East Asia & Pacific,jisubkim.art,False,False,False,False,69.0,34.0,101.0,https://jisubkim.com/,91,,,1264165.51648352,1751.75824175824,1597.81318681319,1.22960906107684,6.664883,9.122219
jiyoonkwak,Ji Yoon Kwak,Halle,True,Peuger,F,KOR,Asia,East Asia & Pacific,kwakjiyu_,False,False,False,False,103.0,150.0,11.0,http://www.jiyukwak.com,48,,,3756011.875,2659.16666666667,3345.35416666667,0.818858764713213,8.113863,6.048691
johanneslistewnik,Johannes Listewnik,Leipzig,True,Ruckhäberle,M,DEU,Europe,Europe & Central Asia,,False,False,,,,,,http://www.johannes-listewnik.de/,50,,,1402492.44,995.74,958.64,1.10079413169078,7.2579417,7.2595363
johannesunger,Johannes Unger,Leipzig,True,Schröter,M,DEU,Europe,Europe & Central Asia,johannes.unger,False,False,False,False,841.0,765.0,90.0,https://www.johannes-unger.com/,21,,,163219.857142857,489.142857142857,478.809523809524,1.04163846920319,8.97887,5.3807473
jonahstrub,Jonah Strub,Bremen,False,Barath,M,,,,vicksvapostrub,False,False,False,False,1181.0,1075.0,581.0,,71,98.9591836734694,6.18367346938776,434616.309859155,958.901408450704,1044.85915492958,0.971334541229928,3.1424072,6.261208
jonasfahrenberger,Jonas Fahrenberger,Offenbach,False,Gunter Reski,M,,,,jonas_fahrenberger,False,False,False,False,849.0,202.0,39.0,,8,131.2,9.4,353486.0,629.625,870.125,0.723422842471012,7.427767,4.600351
jonasjubitz,Jonas Jubitz,UDKBerlin,True,Favre,M,,,,jonasjubitz,True,True,False,True,120.0,65.0,21.0,,3,14.3333333333333,0.333333333333333,425182.666666667,766.333333333333,787.0,1.01098132773097,7.6736193,4.3353863
jonaslangner,Jonas Langner,Alanus,False,,M,,,,leisemitdir,False,False,False,False,497.0,814.0,162.0,,148,46.8547008547009,0.914529914529915,307473.858108108,846.966216216216,1069.58108108108,0.81072879900322,6.279976,4.6545177
jonasliesaus,Jonas Liesaus,Leipzig,True,,M,DEU,Europe,Europe & Central Asia,,False,False,,,,,,https://jonasliesaus.myportfolio.com/,62,,,1745533.79032258,1858.12903225806,2193.17741935484,0.88766821347356,4.8555355,6.2470403
jonasmayer,Jonas Mayer,Saar,False,Langendorf,M,,,,jonasmayerr,False,False,True,False,3842.0,780.0,25.0,,16,549.363636363636,24.6363636363636,1467653.375,1033.5,1238.1875,0.910253449705112,5.7067847,6.1442347
jonaspretterer,JONAS PRETTERER,Munchen,False,Fries,M,DEU,Europe,Europe & Central Asia,jonaspretterer,False,False,False,False,100.0,169.0,3.0,http://www.jonaspretterer.de/,4,,,224912.5,1523.25,1391.5,1.20274741577191,8.743196,6.3184733
jonasrausch,Jonas Rausch,Nürnberg,False,Kühn,M,,,,bildrausch,False,False,True,False,636.0,1379.0,252.0,,19,22.3333333333333,1.0,725694.736842105,782.789473684211,850.315789473684,0.955341173358681,7.1665645,7.9004755
jonghwanlee,Jong Hwan Lee,Halle,True,Peuger,M,,,,,False,False,,,,,,,6,,,277347.0,992.5,835.0,1.42521435052358,6.627813,7.7633104
joorisklettnig,Jooris Klettnig,Leipzig,True,Ruckhäberle,M,DEU,Europe,Europe & Central Asia,jooris_klettnig,False,False,False,False,107.0,482.0,14.0,https://sameoldart.tumblr.com/,6,,,697263.0,931.833333333333,874.666666666667,1.06301738815197,5.8214664,5.694517
joschuabraun,Joschua Braun,Bremen,False,Barath,M,,,,joschuabraun,False,False,False,False,189.0,388.0,17.0,,12,27.5,0.5,98504.0,931.75,1075.33333333333,0.939485045933239,7.163874,4.8268266
josephinejannack,Josephine Jannack,Leipzig,True,,F,DEU,Europe,Europe & Central Asia,josephine_sarodnik,False,False,True,False,241.0,244.0,202.0,https://josephine-apfelsine.tumblr.com/,130,34.3684210526316,0.973684210526316,284520.738461538,989.538461538462,1051.64615384615,0.962197187247187,3.2108102,6.0214925
jsharonwagner,J.SHARON WAGNER,Munchen,False,Fries,M,DEU,Europe,Europe & Central Asia,sharonweimir,False,False,False,False,83.0,73.0,9.0,https://www.klassefries.de/,3,,,153585.0,675.666666666667,835.666666666667,0.852965998320623,5.055078,5.8582735
judicaschn,Judica Schön,Alanus,False,Orosz,F,,,,judica_schoen,False,False,False,False,120.0,64.0,13.0,,13,36.8333333333333,1.16666666666667,393348.846153846,957.076923076923,987.230769230769,0.995286940479837,3.3443885,7.0159883
judithkaminski,JUDITH KAMINSKI,Munster,False,Merkel,F,DEU,Europe,Europe & Central Asia,judith_kaminski,False,False,True,False,576.0,484.0,329.0,https://www.judith-kaminski.de/,58,,,3533625.51724138,1994.12068965517,2572.3275862069,0.777766453198234,7.5146527,7.3616033
juliaburek,julia burek,Munchen,False,Kneffel,F,DEU,Europe,Europe & Central Asia,jvliaburek,False,False,False,False,98.0,150.0,21.0,https://juliaburek.com/,35,,,511900.457142857,893.657142857143,997.314285714286,0.895958431351377,9.111989,5.3457427
juliahochbaum,Julia Hochbaum,Leipzig,True,Schröter,F,DEU,Europe,Europe & Central Asia,julia.hochbaum,False,False,True,False,166.0,204.0,61.0,https://juliahochbaum.wordpress.com/,55,,,224115.145454545,997.654545454545,968.254545454545,1.09033228350943,3.7022636,5.798456
