,tSNEdim1,tSNEdim2,nodeDim1,nodeDim2,nodeDim3,nodeDim4,nodeDim5,nodeDim6,nodeDim7,nodeDim8,nodeDim9,nodeDim10,nodeDim11,nodeDim12,nodeDim13,nodeDim14,nodeDim15,nodeDim16,nodeDim17,nodeDim18,nodeDim19,nodeDim20,nodeDim21,nodeDim22,nodeDim23,nodeDim24,nodeDim25,nodeDim26,nodeDim27,nodeDim28,nodeDim29,nodeDim30,nodeDim31,nodeDim32,nodeDim33,nodeDim34,nodeDim35,nodeDim36,nodeDim37,nodeDim38,nodeDim39,nodeDim40,nodeDim41,nodeDim42,nodeDim43,nodeDim44,nodeDim45,nodeDim46,nodeDim47,nodeDim48,nodeDim49,nodeDim50,nodeDim51,nodeDim52,nodeDim53,nodeDim54,nodeDim55,nodeDim56,nodeDim57,nodeDim58,nodeDim59,nodeDim60,nodeDim61,nodeDim62,nodeDim63,nodeDim64,nodeDim65,nodeDim66,nodeDim67,nodeDim68,nodeDim69,nodeDim70,nodeDim71,nodeDim72,nodeDim73,nodeDim74,nodeDim75,nodeDim76,nodeDim77,nodeDim78,nodeDim79,nodeDim80,nodeDim81,nodeDim82,nodeDim83,nodeDim84,nodeDim85,nodeDim86,nodeDim87,nodeDim88,nodeDim89,nodeDim90,nodeDim91,nodeDim92,nodeDim93,nodeDim94,nodeDim95,nodeDim96,nodeDim97,nodeDim98,nodeDim99,nodeDim100,nodeDim101,nodeDim102,nodeDim103,nodeDim104,nodeDim105,nodeDim106,nodeDim107,nodeDim108,nodeDim109,nodeDim110,nodeDim111,nodeDim112,nodeDim113,nodeDim114,nodeDim115,nodeDim116,nodeDim117,nodeDim118,nodeDim119,nodeDim120,nodeDim121,nodeDim122,nodeDim123,nodeDim124,nodeDim125,nodeDim126,nodeDim127,nodeDim128,instagramHandleCheck2,univNumeric,gender
0,4.207803726196289,6.290077209472656,0.15432,0.141554,0.0400134,-0.205442,0.0439432,0.425263,-0.0378942,0.026332,0.170038,-0.254881,0.141292,0.455935,-0.20493,-0.0221348,-0.234185,-0.482687,0.369012,0.0353111,0.290623,0.187272,0.0216186,-0.0648324,0.12075,-0.332214,0.117436,-0.122077,-0.307614,0.192704,0.289857,-0.00911171,-0.197739,-0.0700914,-0.321775,0.115188,0.165558,-0.106702,0.0759198,0.0603303,0.374552,0.0686143,0.0609183,-0.295586,-0.0718232,-0.0999081,-0.0515165,0.391727,-0.129516,0.194757,-0.289622,-0.0330174,-0.292938,0.20967,-0.00735644,0.0963856,-0.215207,-0.199474,-0.415164,0.0942613,-0.172744,-0.00571353,-0.062273,-0.332717,-0.218456,-0.0334592,0.487199,0.0294785,0.468088,0.249852,-0.242769,-0.215557,-0.241304,0.0672374,-0.212654,-0.622542,0.0274539,0.345933,0.126891,-0.480856,0.190914,-0.0815006,0.342313,0.332823,0.219695,-0.657407,-0.211249,-0.175858,-0.220622,0.515746,-0.000861886,-0.400064,-0.596216,-0.63023,-0.0434584,0.0985981,-0.249666,0.214091,-1.44548,-0.161128,0.867144,1.99668,-0.338831,-0.444777,0.284559,0.0324938,-0.213623,-0.89408,-0.622858,-0.0210536,0.0815748,-0.33648,-0.413576,0.216635,0.782563,0.0621702,-0.869852,-0.821372,0.884678,-0.548072,-0.023698,-0.139007,0.523681,0.672157,0.879333,0.306588,-0.136368,-0.0103066,-0.254174,-0.172661,ellamariagross,6,F
1,3.476297616958618,5.018280506134033,-0.129576,-0.0436041,0.135298,0.168572,0.0498034,0.169908,-0.0843097,-0.207178,-0.046636,-0.0312548,0.0637773,0.110798,-0.0218957,0.134742,0.129246,-0.0950914,0.276584,-0.0464137,0.150275,-0.0766679,0.153464,0.182369,-0.120327,-0.123799,0.169928,-0.0786655,-0.329958,0.212097,-0.125006,0.0622693,0.110559,0.234706,-0.104158,0.0725216,0.0130496,-0.0912966,-0.000160455,-0.191415,0.142288,-0.0598608,-0.144687,-0.0763684,0.203481,0.067047,-0.0940886,0.225793,-0.0807762,0.0809625,-0.433467,0.0791302,0.0794068,0.0572493,0.11643,-0.120103,-0.0243516,0.0466785,-0.347214,0.117917,-0.039133,0.0528247,0.00489442,-0.347384,-0.264368,-0.0163924,0.484653,0.0433654,0.25944,0.329642,0.312022,0.0994796,-0.197826,0.193578,-0.294729,-0.780975,-0.259055,0.148248,-0.114274,-0.187958,0.031177,-0.0863366,0.538129,0.230336,0.0745994,-0.519148,-0.258265,-0.376015,-0.0792523,0.36085,0.101734,-0.264572,-0.320707,-0.765187,0.232157,0.0552081,-0.196588,-0.0638536,-1.4908,0.380513,0.304079,1.46772,-0.15937,-0.647149,0.48147,0.32708,-0.400756,-0.316934,-0.482845,0.325962,-0.189412,-0.257622,-0.39658,0.166439,0.723381,0.120281,-0.845077,-1.08918,0.694198,-0.490687,-0.118308,-0.230971,0.484983,0.812469,1.11743,0.529553,0.114515,-0.133695,-0.218897,0.012181,albertgouthier,6,M
2,3.119966506958008,4.753467082977295,0.042417,0.126407,0.0528982,0.151771,-0.0434185,0.000438704,0.246351,-0.0323531,-0.226966,0.0891336,-0.177749,-0.0211075,0.0539276,0.309206,0.184479,-0.08383,0.156635,-0.157034,0.26584,0.102226,0.101671,0.207303,-0.0152855,0.0157123,0.0107622,-0.176247,0.016308,-0.141087,-0.31343,0.0326527,-0.0489476,0.195132,0.0722326,-0.0728286,-0.142823,-0.198871,-0.121067,-0.176261,0.0909954,0.120921,0.108386,0.325855,0.306289,-0.00377317,-0.0497521,-0.0248127,0.0389133,0.199365,-0.239511,0.0921578,-0.0512032,0.180626,0.043985,-0.0831932,0.379258,-0.185621,-0.0592317,-0.0598765,0.0713408,0.0544445,-0.0336463,-0.303924,-0.19061,0.0873515,0.734786,-0.0803374,0.342272,0.499828,0.269616,0.390065,-0.141788,0.129894,-0.0875595,-0.395087,-0.344494,0.131477,0.151952,-0.254698,0.0509674,0.116816,0.608213,0.201397,-0.0276759,-0.53203,-0.149431,-0.0406004,-0.070276,0.54686,0.0257354,-0.331297,-0.347117,-0.568212,-0.143981,-0.138328,-0.427026,0.170733,-1.26601,0.167057,0.439263,1.48313,0.0627407,-0.744274,0.0682992,0.185153,-0.213221,-0.404068,-0.737418,0.333398,-0.146804,0.0437663,-0.108401,0.142591,0.66,-0.127547,-1.07774,-0.989374,0.651622,-0.67909,-0.000428675,-0.339011,0.577401,0.658426,1.23263,0.244262,0.0647576,0.0139833,-0.311411,-0.0575824,sofialak7,6,F
3,-1.0099064111709595,-1.6421889066696167,-0.0302939,0.0894594,-0.0331039,0.0237781,0.106768,0.0990923,0.0597998,0.00167204,0.0424559,0.0331967,0.0587651,0.129048,-0.119531,0.0431875,0.149569,0.075012,0.179612,0.124665,-0.0166818,0.0568922,0.0470467,-0.122551,0.0797042,0.136092,0.0956408,0.00221504,-0.0762087,0.0838186,-0.00773859,0.0262842,0.134695,0.0329237,-0.0105413,-0.0921508,0.0409175,0.0137076,-0.0485975,0.00387646,0.196166,0.0595615,0.0423279,-0.162018,-0.111045,-0.246173,-0.101239,0.117551,-0.0173719,0.0133356,-0.0800142,-0.142254,-0.184738,0.138163,-0.0338941,0.245864,0.00688201,0.0228604,-0.0291605,0.23566,-0.0536288,0.0654521,0.117907,0.065541,-0.0611682,-0.288648,0.467363,0.0488508,0.377753,0.0716054,0.15354,0.236893,-0.549551,0.0186448,-0.169816,-0.408572,-0.367225,-0.165744,-0.0378075,-0.0824853,0.0493735,0.1536,0.66195,0.0694329,-0.0758392,-0.523047,-0.0120793,-0.0923728,-0.255377,0.74286,-0.317255,-0.378775,-0.655334,-0.552451,0.122537,-0.0984037,-0.238549,-0.0931914,-1.33929,0.207276,0.651356,1.43814,-0.112308,-0.72546,0.297796,0.133681,-0.306246,-0.487722,-0.580112,0.302861,-0.104525,-0.12892,-0.136365,0.120169,0.604434,0.0751723,-0.731222,-1.12186,0.505612,-0.358601,0.14945,-0.323865,0.463133,0.781197,1.00062,0.226506,0.198144,0.0295715,0.103138,-0.187248,leo.constantin.fischer,6,M
4,4.2880353927612305,4.191440105438232,-0.255021,0.0932043,0.0976536,0.0728213,-0.0494495,0.0114531,0.355833,0.334822,-0.230671,0.189083,0.167598,0.01212,0.0746518,-0.0450988,-0.127516,-0.0358872,0.252582,-0.280118,0.0794897,0.0689058,-0.108385,-0.056284,0.115245,0.146269,-0.135177,0.0325726,-0.121715,-0.119967,-0.0125784,-0.0113774,-0.0726682,-0.169163,-0.232049,0.258738,0.124012,-0.130305,0.242282,-0.0978996,0.00815541,0.183636,-0.101361,-0.192216,-0.00934582,-0.0574318,-0.197183,0.15582,0.0272813,0.255674,-0.445774,-0.119081,0.261727,-0.0322565,0.138268,-0.222557,0.111638,-0.22802,-0.299922,-0.0364135,-0.106046,-0.0445675,0.0373477,0.0273876,-0.219118,-0.00816459,0.403051,-0.112682,0.134781,-0.112335,0.150239,0.145525,-0.310472,0.255748,-0.237074,-0.809474,-0.825565,0.116154,0.0579019,-0.422652,0.292066,-0.105555,0.685647,0.437625,0.279461,-0.37863,-0.188653,0.06563,-0.327401,0.404713,-0.0464891,-0.537188,-0.590821,-0.722074,0.0185827,0.0258319,-0.256622,0.143993,-1.2414,0.322936,0.373751,1.57568,-0.0321013,-0.487949,0.701825,0.161342,-0.26384,-0.734181,-0.637436,0.141275,-0.44627,0.0534632,-0.585211,0.370733,0.694641,-0.0246894,-0.817627,-0.996041,0.575884,-0.549985,-0.0468896,-0.213192,0.583264,0.559072,1.15583,0.268113,0.141215,0.314129,-0.335699,-0.0229966,eric.beier.3,6,M
5,2.566419839859009,4.240959167480469,-0.0076092,0.0931679,0.192542,-0.118684,0.0156173,0.123762,-0.0021037,0.0137704,0.201757,-0.0218925,-0.0401799,0.183738,0.118481,0.130547,-0.0258405,-0.0395652,0.196942,0.106737,0.280909,0.189521,-0.0937467,0.23928,-0.156641,0.361225,0.278005,0.0900342,0.0463004,-0.0327943,0.0119168,0.13719,-0.0224363,0.239623,-0.179705,0.0312907,0.0888498,-0.0642232,-0.0575943,0.0240975,0.110718,-0.301773,-0.124541,0.11632,-0.190249,-0.129969,-0.0352962,0.0081234,0.11702,0.038954,-0.149426,-0.109933,-0.0582816,-0.0432283,0.101269,-0.102726,0.162598,-0.168976,0.139711,-0.0201183,-0.253264,0.360947,-0.0510486,-0.0881788,-0.380635,0.098494,0.545555,0.194767,0.183404,0.365194,0.400975,0.291352,-0.3281,-0.0891038,-0.112552,-0.507833,-0.354371,-0.0683497,-0.101264,-0.295468,0.255295,-0.0783679,0.701447,0.421961,0.207316,-0.525506,-0.00510379,-0.167573,-0.248136,0.550287,0.112741,-0.0922448,-0.722881,-0.376211,0.0246507,0.0642635,-0.345895,-0.0265089,-1.31891,0.287117,0.450918,1.59195,-0.0574563,-0.81295,-0.0100626,0.286663,-0.351692,-0.53216,-0.5027,0.416146,0.008581,0.0318487,-0.166162,0.144599,0.621961,0.0460175,-1.02265,-1.17229,0.670002,-0.4334,-0.340976,-0.187593,0.659691,0.430764,1.02368,0.579764,-0.0156603,-0.213086,-0.382981,-0.111725,yesul.lee,6,F
6,4.692678928375244,4.4344305992126465,-0.126665,-0.0247382,0.0522722,0.255485,0.34311,-0.0905914,0.179613,0.379538,0.0101041,0.200658,0.339255,-0.445832,0.166971,0.118343,0.0575934,-0.241589,0.0017507,-0.361134,0.176975,0.123315,-0.0555872,0.169166,0.107534,0.394248,0.353032,0.116584,-0.235216,-0.00616618,-0.197968,-0.0979705,-0.0735077,0.360541,0.163187,-0.0312246,-0.0189422,-0.0584455,-0.00943551,0.0904166,0.0779033,0.145302,0.0656489,0.172403,0.109282,-0.0022783,-0.0208098,0.450926,-0.0247714,-0.00169767,-0.281069,-0.127549,0.106426,0.05483,0.0725328,-0.29628,0.104692,-0.23829,-0.108781,-0.0114807,0.113048,0.00445963,-0.00954344,-0.20028,-0.181443,-0.11877,0.243211,0.517818,0.0984759,0.063812,0.273616,0.303754,-0.370586,0.057481,-0.189032,-0.884014,-0.37493,0.275394,-0.248031,0.0917531,0.0778868,-0.1433,0.463089,0.284353,-0.00840855,-0.298999,-0.345542,-0.00597744,-0.136145,0.396715,-0.139301,-0.429146,-0.226881,-0.553424,-0.114954,0.111338,-0.00492006,0.167663,-1.49098,0.110071,0.785634,1.63942,-0.0812633,-0.506421,0.385193,0.103453,-0.4253,-0.286205,-0.52584,0.489122,-0.262314,-0.0162178,-0.164219,-0.0180276,0.857514,-0.0177619,-1.24028,-0.904934,0.545754,-0.707154,0.221959,0.10237,0.594246,0.665985,0.844092,0.528703,-0.029541,0.205637,-0.347797,0.136448,robertczolkoss,6,M
7,3.5108895301818848,5.144850730895996,0.0142921,-0.05628,0.336357,0.192539,0.220611,0.0903793,0.0616115,-0.0689326,0.22688,-0.0742484,0.0765498,-0.22585,-0.0559554,-0.0311028,0.0494765,-0.103069,0.31205,-0.0601926,0.0610435,-0.0259339,-0.0702531,-0.0747017,-0.10884,-0.213888,0.202631,0.187532,-0.4067,-0.157156,-0.00906969,0.190036,0.0936352,-0.0864268,-0.00393566,-0.226455,0.176949,-0.187838,-0.100046,-0.201631,0.410493,-0.164548,0.155488,0.150767,0.139168,-0.0137871,-0.0373254,0.0776285,-0.0127357,0.216664,-0.349821,0.331151,-0.0512145,0.222531,0.0683089,-0.0538081,0.188367,-0.149014,-0.295136,-0.097752,0.0961175,0.16344,0.107007,-0.222531,-0.20814,0.0737707,0.588293,0.132763,0.46048,0.225799,0.271301,0.167263,-0.229966,-0.10045,-0.376359,-0.685716,-0.373305,0.246267,0.0230882,-0.28081,0.262492,0.0802456,0.616104,0.143798,-0.0628504,-0.609792,-0.205491,-0.216321,-0.149246,0.368201,0.20728,-0.230979,-0.653873,-0.75243,0.00756776,0.0779256,-0.281091,-0.0392235,-1.4059,0.371432,0.502097,1.54863,0.0405061,-0.782664,0.354373,0.22442,-0.408912,-0.377453,-0.436253,0.48764,-0.0836691,-0.130864,-0.106986,-0.0531092,0.609103,-0.260419,-1.15602,-1.2619,0.561708,-0.455606,0.0405751,-0.455246,0.569822,0.63382,0.815645,0.344115,-0.129565,-0.0635034,-0.297854,0.0990485,arenshahnazaryan,6,M
8,3.191767930984497,5.252985000610352,-0.173087,0.0156778,0.383041,0.0112864,0.0955923,-0.0116126,-0.0204205,0.0751257,-0.267343,-0.0646987,0.0417476,-0.0306354,-0.202323,0.136238,-0.0562333,-0.0751814,0.0404724,0.129375,0.485449,0.0893882,0.0185968,-0.0524803,0.278042,-0.0876049,0.108556,-0.067864,-0.270176,0.167679,-0.454041,0.0870544,-0.144913,-0.052074,-0.0226254,0.213321,0.0556925,-0.0733438,-0.172188,-0.131411,0.468249,0.224659,0.0291577,0.036548,-0.130868,-0.0215841,-0.151409,0.138361,0.201493,0.0794637,-0.288937,0.0223745,0.104774,0.214393,0.15595,0.0172365,0.348434,-0.170955,-0.301381,0.082871,-0.169553,0.068747,-0.0987604,-0.181312,0.0761792,-0.0705744,0.355552,-0.00590603,0.369662,0.492086,0.420719,0.109961,-0.245484,0.00997238,-0.100243,-0.47147,-0.174045,0.22212,0.126553,-0.199616,0.201101,0.00187941,0.589628,0.388035,-0.0682852,-0.582197,0.00406784,0.106777,-0.194047,0.624244,-0.133546,-0.246439,-0.531897,-0.653057,-0.0408115,0.0356788,-0.437248,0.00837406,-1.25059,0.130469,0.585798,1.72826,0.0777921,-0.928636,0.201616,0.230583,-0.120878,-0.296438,-0.653894,0.195206,0.0708428,-0.224278,-0.20471,0.132649,0.755916,-0.178693,-1.15188,-1.07433,0.523423,-0.487788,0.193507,0.128876,0.645129,0.490355,0.964477,0.495532,0.045096,-0.163574,-0.240582,-0.0754358,z_zarah_,6,F
9,-8.297248840332031,-0.9208444356918335,0.157652,-0.108734,0.106683,0.176652,0.343971,-0.148582,0.0807264,-0.15389,0.17292,-0.0192439,-0.10711,0.180102,-0.352599,0.0203564,0.194597,0.00250149,0.145303,0.204475,0.14739,-0.23748,0.0646123,-0.118961,0.29749,-0.262523,0.0612481,-0.167502,-0.234574,-0.0279559,0.216119,0.30179,0.200403,0.0596317,-0.299298,0.169746,-0.235886,0.122065,-0.0642156,0.149364,0.011902,0.049796,-0.137113,-0.131236,-0.0782162,-0.0736946,0.0035658,-0.151048,0.0572667,0.322114,-0.39911,-0.0708446,-0.429206,0.0875609,0.113889,0.0980565,0.537578,-0.0792208,-0.107464,0.042911,0.00225309,0.257626,0.153401,0.00684446,-0.220576,0.0597103,0.502295,0.16889,0.476679,0.213018,0.50222,0.0605249,-0.314681,0.179049,0.047226,-0.561472,-0.0444391,-0.0275755,-0.0997946,0.0460738,0.10998,-0.129805,0.697114,0.0509598,-0.283714,-0.902193,-0.316745,-0.480911,-0.153653,0.456774,-0.317806,-0.380491,-0.638275,-0.304552,0.0631205,-0.128742,-0.149416,-0.154931,-1.41641,-0.0491649,0.664314,1.43329,-0.250074,-0.50117,0.202172,-0.326142,-0.371989,0.110267,-0.57305,0.257312,-0.153619,-0.0631533,-0.393962,0.406332,0.801771,-0.0611145,-0.962703,-0.990916,0.877467,-0.592571,-0.178337,-0.144957,0.760129,0.40307,1.13313,0.301017,-0.161779,0.16296,-0.130939,0.150315,pinkijeanne,10,F
