variable,Df,variance,F_stat,p_value
school,1,0.014925651850087984,2.9511145402899026,0.0441
gender,2,0.032109158601927756,3.174327184446052,0.0128
professor_class,28,0.24860119039020434,1.7554882672142382,1e-4
continent,3,0.0832647577787804,5.487729890408485,1e-4
