group,spread,n
Alanus,0.10453054733719183,25
Braunschweig,0.1100969356658867,39
Bremen,0.11226690389260946,29
Dresden,0.09627590300611828,44
Halle,0.09038059189908124,18
Leipzig,0.08726595543827642,67
Mainz,0.08533805206612159,19
Munchen,0.0931891527371792,44
Munster,0.0984425590332548,33
Nürnberg,0.10263172507503086,37
Offenbach,0.09149346764269704,11
Saar,0.08431765779051341,25
Stuttgart,0.07850906057724813,18
UDKBerlin,0.08658289905721776,24
Weißensee,0.1267838759613992,8
