group,spread,n
Alanus,0.629270630788655,25
Braunschweig,0.6893381680791686,39
Bremen,0.6124502685386827,29
Dresden,0.6882279430766451,44
Halle,0.6441911683292237,18
Leipzig,0.691166824823372,67
Mainz,0.6018214506220395,19
Munchen,0.6063657583554128,44
Munster,0.5254409436759974,33
Nürnberg,0.7574885415972793,37
Offenbach,0.5559670170279937,11
Saar,0.6478876943744198,25
Stuttgart,0.4699723506775916,18
UDKBerlin,0.7041958647638483,24
Weißensee,0.6476510302123014,8
